net,length_um
clknet_leaf_3_clk,72.895
_149_\[6\],72.845
_02282_,72.82
_02151_,72.795
clknet_leaf_8_clk,72.78
clknet_leaf_37_clk,72.75
_182_\[27\],72.73
_03148_,72.675
_142_\[10\],72.6
_03987_,72.525
_04946_,72.4
_234_\[23\],72.4
_138_\[3\],72.375
_152_\[22\],72.345
clknet_leaf_27_clk,72.32
_392_\[4\],72.22
clknet_leaf_55_clk,72.215
clknet_leaf_18_clk,72.115
_164_\[27\],72.11
_02590_,72.08
_170_\[14\],72.02
_02661_,72.015
_140_\[3\],72.01
_03905_,71.85
clknet_leaf_62_clk,71.655
_03413_,71.375
_149_\[0\],71.175
_02621_,71.08
_03368_,70.81
_04408_,70.77
_02721_,70.595
_05386_,70.55
clknet_leaf_92_clk,70.44
clknet_leaf_87_clk,70.395
_05344_,70.305
_132_\[14\],70.19
_152_\[6\],70.18
_170_\[19\],70.12
_152_\[31\],69.835
_03978_,69.805
_02709_,69.64
_122_\[29\],69.615
_05482_,69.595
_02699_,69.4
_130_\[27\],69.395
_02657_,69.35
_03887_,69.32
_03621_,69.12
_01445_,69.07
_02907_,69.02
_02249_,68.955
_138_\[5\],68.895
_04538_,68.885
_04228_,68.66
clknet_leaf_49_clk,68.55
_149_\[10\],68.495
_243_\[8\],68.275
_03847_,68.2
_05709_,68.175
_03078_,68.13
clknet_leaf_11_clk,68.13
_02105_,68.1
_243_\[5\],68.095
_05563_,67.935
_170_\[22\],67.935
_116_\[18\],67.92
_03030_,67.915
_02663_,67.86
_02208_,67.78
_04261_,67.74
clknet_leaf_100_clk,67.61
_132_\[12\],67.565
_02882_,67.53
_04987_,67.5
_124_\[9\],67.38
clknet_leaf_66_clk,67.26
_149_\[13\],67.135
_04965_,67.09
_170_\[15\],67.04
_122_\[2\],66.95
_02719_,66.88
_04091_,66.62
_03249_,66.555
_142_\[3\],66.535
clknet_leaf_15_clk,66.45
_04969_,66.275
_149_\[15\],66.26
_01644_,66.24
_02003_,66.22
_05712_,66.18
_182_\[5\],66.1
_05266_,65.98
_03906_,65.96
_02612_,65.92
_01251_,65.825
_02320_,65.815
_06123_,65.63
clknet_leaf_88_clk,65.575
_04981_,65.57
_02673_,65.5
_02603_,65.49
clknet_leaf_6_clk,65.485
_04112_,65.375
_182_\[6\],65.365
clknet_leaf_40_clk,65.35
_04477_,65.345
_243_\[6\],65.335
_01462_,65.235
_03216_,65.015
_170_\[3\],64.945
_02668_,64.92
_03555_,64.89
_167_\[16\],64.885
_05688_,64.765
_142_\[2\],64.71
clknet_leaf_89_clk,64.59
clknet_leaf_79_clk,64.485
_02672_,64.48
_132_\[2\],64.48
_05633_,64.42
_03387_,64.06
_03581_,64.015
_234_\[19\],63.94
_234_\[5\],63.91
_01475_,63.89
_04953_,63.73
_04974_,63.73
_05424_,63.675
_02644_,63.62
_128_\[27\],63.48
_03189_,63.18
_02609_,63.16
_132_\[31\],63.155
_182_\[18\],63.15
_04934_,63
_167_\[10\],62.98
_179_\[3\],62.955
_179_\[28\],62.44
_234_\[26\],62.43
_04577_,62.395
_01619_,62.39
_04353_,62.26
clknet_leaf_19_clk,62.24
_05392_,62.12
_167_\[26\],61.975
_02691_,61.92
_03167_,61.845
_04430_,61.815
_02937_,61.78
net31,61.78
_03731_,61.675
_02883_,61.48
_138_\[4\],61.47
_04494_,61.455
_179_\[12\],61.405
clknet_leaf_104_clk,61.375
_149_\[11\],61.27
_228_\[20\],61.27
_04575_,61.22
_04510_,61.175
_03058_,61.125
_02875_,61.09
_04285_,61.07
clknet_leaf_76_clk,60.965
_167_\[15\],60.915
_02936_,60.86
_134_\[0\],60.79
_234_\[25\],60.79
_03146_,60.595
_02962_,60.59
_149_\[4\],60.585
_04085_,60.5
_01762_,60.41
_132_\[30\],60.39
_02704_,60.36
_234_\[4\],60.34
_05962_,60.335
clknet_leaf_115_clk,60.31
clknet_leaf_105_clk,60.25
_195_\[5\],60.23
clknet_leaf_42_clk,60.185
_01307_,60.165
_03408_,60.155
_03615_,60.04
_164_\[13\],59.95
_01241_,59.935
_01306_,59.915
_02734_,59.855
_03149_,59.84
_04280_,59.835
_05668_,59.795
_04087_,59.755
_03520_,59.735
_04274_,59.73
clknet_leaf_120_clk,59.705
_120_\[6\],59.64
_243_\[0\],59.54
clknet_leaf_116_clk,59.47
_03217_,59.4
_132_\[5\],59.38
_03930_,59.355
_04492_,59.275
_03548_,59.27
_243_\[12\],59.25
_03390_,59.14
_02034_,59.095
_03904_,59.095
_05545_,59.095
_05687_,59.05
clknet_leaf_80_clk,58.99
_149_\[26\],58.94
_05773_,58.72
_02726_,58.675
_05719_,58.67
_02681_,58.6
_182_\[21\],58.59
_04593_,58.575
_01867_,58.48
_05527_,58.45
_02620_,58.255
_03912_,58.195
_04959_,58.06
_02913_,58.045
_124_\[8\],58.04
_04293_,57.955
_176_\[30\],57.87
_138_\[6\],57.86
_04011_,57.835
_170_\[12\],57.55
_01777_,57.445
_134_\[19\],57.19
_243_\[9\],57.18
_05316_,57.15
_124_\[6\],57.02
_03875_,56.99
clknet_leaf_113_clk,56.99
_167_\[4\],56.79
_05339_,56.78
_04943_,56.695
_124_\[7\],56.695
_03099_,56.54
clknet_leaf_35_clk,56.5
_130_\[9\],56.475
_122_\[5\],56.455
_02207_,56.4
_176_\[29\],56.335
_124_\[26\],56.22
_140_\[5\],56.21
_03322_,56.2
clknet_leaf_112_clk,56.2
_01838_,56.135
_04082_,56.1
clknet_leaf_108_clk,55.965
_03957_,55.915
_152_\[17\],55.915
clknet_leaf_61_clk,55.775
_130_\[16\],55.64
clknet_leaf_99_clk,55.635
_170_\[13\],55.58
clknet_leaf_130_clk,55.49
_01599_,55.315
clknet_leaf_101_clk,55.3
_02285_,55.295
_04161_,55.135
_03375_,54.91
_02617_,54.83
_01631_,54.755
_120_\[7\],54.675
_04361_,54.655
_392_\[0\],54.59
_05693_,54.57
_03616_,54.475
_03557_,54.435
_03228_,54.395
_04305_,54.39
_03461_,54.38
_149_\[27\],54.07
_167_\[31\],54.03
_01811_,53.975
_05589_,53.88
_149_\[29\],53.86
_02848_,53.76
_182_\[4\],53.725
_149_\[23\],53.715
_182_\[20\],53.565
_231_\[25\],53.485
_179_\[5\],53.475
_04398_,53.47
_01711_,53.44
_05851_,53.435
_167_\[1\],53.315
_182_\[22\],53.24
_234_\[3\],53.14
_195_\[4\],52.985
_03642_,52.86
_116_\[21\],52.77
_228_\[7\],52.765
_136_\[7\],52.715
_182_\[13\],52.63
_134_\[15\],52.475
_132_\[9\],52.47
_02523_,52.4
_05884_,52.35
_195_\[1\],52.335
_03460_,52.32
_05406_,52.3
_234_\[14\],52.155
_240_\[11\],52.12
_122_\[4\],52.055
_03879_,52.05
_05701_,52.02
_124_\[24\],52
_132_\[4\],51.83
_176_\[24\],51.665
_149_\[21\],51.615
_03640_,51.575
_01513_,51.53
_152_\[1\],51.385
_05172_,51.28
_04218_,51.22
_228_\[25\],51.185
_04369_,51.115
_128_\[23\],51.07
_134_\[13\],51.055
_122_\[3\],51.04
_164_\[5\],50.905
_02702_,50.9
_04157_,50.795
_03929_,50.79
_03949_,50.705
_179_\[0\],50.63
_140_\[6\],50.585
clknet_leaf_31_clk,50.575
_228_\[9\],50.2
_03046_,50.13
_149_\[28\],50.04
_04421_,50.015
_05913_,49.995
_182_\[17\],49.91
_02531_,49.89
_03383_,49.89
_231_\[0\],49.875
_170_\[18\],49.855
_04471_,49.84
_01543_,49.62
_05810_,49.56
_02731_,49.495
_05381_,49.46
_03762_,49.445
_05366_,49.32
_05689_,49.195
_164_\[6\],49.16
_182_\[29\],49.155
_04431_,49.11
_134_\[4\],49.09
_05991_,48.905
_03288_,48.695
_05562_,48.62
_02676_,48.615
_243_\[11\],48.595
_03575_,48.55
_01977_,48.46
_170_\[5\],48.415
_05704_,48.335
_132_\[6\],48.32
_01309_,48.28
_234_\[0\],48.25
_01553_,48.235
_126_\[12\],48.065
_05864_,48.045
_228_\[10\],47.985
_122_\[1\],47.92
_01285_,47.915
_05601_,47.76
_04168_,47.715
_04124_,47.64
_243_\[3\],47.5
_182_\[23\],47.42
_04313_,47.4
_02724_,47.25
_03229_,47.22
_03940_,47.16
_05902_,47.155
_231_\[2\],47.155
_03083_,47.065
_02934_,46.93
_01482_,46.86
_02248_,46.62
_02537_,46.52
_04076_,46.5
_04164_,46.5
_120_\[8\],46.395
_05615_,46.28
clknet_leaf_9_clk,46.25
_05342_,46.15
_124_\[25\],45.96
_04535_,45.94
_05791_,45.855
clknet_leaf_129_clk,45.8
_02677_,45.77
clknet_leaf_30_clk,45.75
_04222_,45.735
_04296_,45.655
clknet_leaf_98_clk,45.595
_01516_,45.48
_05813_,45.28
_128_\[1\],45.2
_05358_,45.18
_140_\[4\],45.165
_03732_,45.16
_164_\[1\],45.06
_03041_,45.055
_05431_,45.035
_02589_,44.96
_03908_,44.955
_05841_,44.955
_02614_,44.895
_01250_,44.825
_120_\[9\],44.795
_392_\[1\],44.77
_228_\[26\],44.745
_04177_,44.72
_04104_,44.715
_167_\[8\],44.675
_03262_,44.67
_234_\[13\],44.56
_228_\[4\],44.475
_01300_,44.415
_03342_,44.38
_02281_,44.375
_136_\[2\],44.335
_03080_,44.27
_05639_,44.255
_05683_,44.255
_03178_,44.185
_01532_,44.135
_05861_,44.04
_231_\[24\],43.99
_02613_,43.975
_02633_,43.96
_05895_,43.855
_02992_,43.84
_03082_,43.735
_04044_,43.655
_132_\[7\],43.615
_149_\[12\],43.59
_05677_,43.555
_167_\[14\],43.55
_04239_,43.53
_149_\[31\],43.41
_06055_,43.405
_05869_,43.39
_02402_,43.325
_03942_,43.28
_03369_,43.22
_04940_,43.215
_02932_,43.03
_01304_,42.965
_01930_,42.935
_132_\[1\],42.89
_02502_,42.79
_128_\[22\],42.725
_02456_,42.62
_149_\[25\],42.52
_04195_,42.46
_164_\[18\],42.435
_182_\[16\],42.435
_06024_,42.34
_04215_,42.33
_04956_,42.255
_03025_,42.22
_02622_,42.215
_06044_,42.035
_01264_,42
_149_\[5\],41.785
_03315_,41.74
_01291_,41.615
_03765_,41.59
_126_\[11\],41.56
_03045_,41.51
_04059_,41.46
_243_\[10\],41.455
_01849_,41.44
_01741_,41.415
_05680_,41.325
_134_\[5\],41.31
_04054_,41.28
_04156_,41.24
_120_\[4\],41.235
_04370_,41.195
_02421_,41.115
_01507_,41.1
_01712_,41.08
_05183_,41.08
_01921_,41.06
_164_\[15\],40.935
_01714_,40.93
_05932_,40.915
_176_\[14\],40.915
_140_\[7\],40.87
_152_\[15\],40.74
_03017_,40.735
_231_\[7\],40.71
_05740_,40.56
_04185_,40.435
_05772_,40.42
_01324_,40.385
_04026_,40.215
_05983_,40.21
_126_\[16\],40.175
_228_\[13\],40.035
clknet_leaf_33_clk,39.985
_182_\[7\],39.965
_152_\[10\],39.905
_05920_,39.9
_164_\[14\],39.855
_03043_,39.78
_03125_,39.63
_149_\[16\],39.58
_234_\[27\],39.505
_04258_,39.5
_03828_,39.495
clknet_leaf_84_clk,39.485
_240_\[20\],39.39
_04332_,39.3
_167_\[5\],39.3
_01486_,39.255
_231_\[10\],39.09
_132_\[8\],38.995
clknet_leaf_83_clk,38.99
_136_\[6\],38.955
_01880_,38.88
clknet_leaf_43_clk,38.86
_04546_,38.84
_01751_,38.83
_02678_,38.8
_01858_,38.695
_04099_,38.615
_01541_,38.595
_228_\[18\],38.515
_01260_,38.5
_03922_,38.48
_04564_,38.38
_158_\[9\],38.34
clknet_leaf_107_clk,38.32
_03198_,38.255
_04608_,38.235
_170_\[1\],38.225
_01265_,38.185
_05980_,38.16
_149_\[2\],38.09
_132_\[13\],38.07
_096_,37.915
_128_\[10\],37.895
_01603_,37.855
_04443_,37.85
_167_\[12\],37.76
_03016_,37.695
_04029_,37.675
_132_\[28\],37.65
_05674_,37.64
_01559_,37.62
_05646_,37.62
_167_\[29\],37.595
_04410_,37.585
_05379_,37.575
_124_\[27\],37.555
_05368_,37.5
_01533_,37.495
_03643_,37.415
_04062_,37.375
_04050_,37.36
_04034_,37.335
_134_\[28\],37.31
_240_\[12\],37.285
_02485_,37.14
_01905_,37.06
_03996_,37.02
_05909_,36.995
_04238_,36.865
_164_\[8\],36.845
_05346_,36.82
_152_\[25\],36.79
_05480_,36.71
_158_\[0\],36.685
_164_\[12\],36.685
_03606_,36.545
_01677_,36.515
_03012_,36.41
_02602_,36.335
_231_\[28\],36.275
_240_\[0\],36.085
_05638_,36.055
_03351_,35.98
_01802_,35.97
_02472_,35.965
_04954_,35.95
_04179_,35.9
_03534_,35.815
_02631_,35.8
_130_\[17\],35.78
_01206_,35.75
_03318_,35.6
_120_\[5\],35.58
_05629_,35.57
_04018_,35.5
_03545_,35.47
_05777_,35.425
_02227_,35.41
_149_\[3\],35.375
_05400_,35.225
_01851_,35.155
_228_\[23\],35.15
_03630_,35.135
_05748_,35.135
_05757_,35.075
_122_\[28\],35.075
_01906_,35.02
_01944_,34.945
_05383_,34.935
_03740_,34.92
_05992_,34.9
_03290_,34.855
_134_\[21\],34.835
_228_\[15\],34.815
_126_\[18\],34.795
_04531_,34.73
_04461_,34.72
_182_\[30\],34.675
_122_\[7\],34.66
_122_\[8\],34.66
_138_\[7\],34.64
_04186_,34.57
_03300_,34.52
_130_\[25\],34.475
_04057_,34.42
_05609_,34.415
_01947_,34.34
_04977_,34.26
_05476_,34.24
_01252_,34.23
_04321_,34.205
_120_\[24\],34.205
_03090_,34.175
_01658_,34.135
_228_\[5\],34.11
_02054_,34.02
_05501_,33.98
_182_\[8\],33.97
_04355_,33.92
_05801_,33.695
_240_\[21\],33.675
_01303_,33.61
_01786_,33.53
_04278_,33.475
_01755_,33.37
_234_\[28\],33.33
_05645_,33.31
_167_\[22\],33.285
_240_\[26\],33.23
_03562_,33.21
_130_\[26\],33.16
clknet_leaf_114_clk,33.14
_03000_,33.135
_05942_,33.04
_240_\[8\],33.01
_167_\[19\],33
_02496_,32.97
_04333_,32.95
_128_\[4\],32.89
_182_\[28\],32.855
_01259_,32.81
_05597_,32.795
clknet_leaf_81_clk,32.77
_136_\[20\],32.73
_02123_,32.72
_02286_,32.675
_05264_,32.64
_05395_,32.635
_228_\[12\],32.615
_228_\[28\],32.555
_05917_,32.54
_182_\[9\],32.54
_01625_,32.5
_03031_,32.5
_02818_,32.495
_04340_,32.41
_05822_,32.375
_01835_,32.37
_04077_,32.36
_170_\[4\],32.355
_130_\[12\],32.34
_03704_,32.3
_01584_,32.28
_122_\[9\],32.255
_03611_,32.24
_05593_,32.24
_158_\[13\],32.24
_02197_,32.235
_228_\[6\],32.235
_03100_,32.17
_02356_,32.16
_138_\[31\],32.135
_234_\[31\],32.125
_03062_,31.94
_05793_,31.935
_182_\[10\],31.915
_01321_,31.89
_03756_,31.825
_04202_,31.74
_01318_,31.64
_02064_,31.565
_04419_,31.415
_04396_,31.405
_04260_,31.3
_126_\[27\],31.27
_02463_,31.265
_03633_,31.25
_01807_,31.24
_02220_,31.205
_05325_,31.2
_04056_,31.195
_05088_,31.18
_05438_,31.18
_01403_,31.175
_228_\[22\],31.165
_05906_,31.14
_228_\[19\],31.13
_182_\[12\],31.12
_01563_,31.105
_228_\[2\],31.095
_04061_,31.08
_05788_,31.06
_228_\[14\],31.045
_05485_,31.04
_01296_,30.96
_240_\[18\],30.955
_01834_,30.88
_03564_,30.875
_134_\[1\],30.875
_240_\[6\],30.85
_03499_,30.845
_231_\[23\],30.83
_04325_,30.815
_03426_,30.775
_04277_,30.76
_02975_,30.69
_05662_,30.635
_136_\[3\],30.635
_04513_,30.63
_05355_,30.6
_167_\[18\],30.58
_04327_,30.575
_03955_,30.56
_05375_,30.55
_02255_,30.53
_138_\[21\],30.52
_149_\[1\],30.495
_04166_,30.42
_126_\[13\],30.4
_05195_,30.37
_04295_,30.355
_04869_,30.335
_04503_,30.315
_132_\[0\],30.275
_228_\[24\],30.275
_02063_,30.22
_03745_,30.17
_02581_,30.14
_240_\[9\],30.125
_04365_,30.09
_03718_,30.075
_05606_,30.015
_02027_,30
_228_\[21\],29.985
_05509_,29.915
_01209_,29.91
_02141_,29.88
_231_\[1\],29.87
_02444_,29.845
_04533_,29.82
_02110_,29.795
_01273_,29.755
_03470_,29.755
_01308_,29.74
_01254_,29.655
_03849_,29.64
_05598_,29.62
_138_\[23\],29.6
_231_\[5\],29.54
_05539_,29.53
_03836_,29.52
_167_\[13\],29.485
_120_\[3\],29.435
_04294_,29.415
_03260_,29.41
_03053_,29.395
_158_\[12\],29.365
_01247_,29.35
_228_\[11\],29.345
_03329_,29.28
_01257_,29.235
_03899_,29.2
_05385_,29.18
_228_\[1\],29.15
_03360_,29.1
_152_\[14\],29.09
_02341_,29.07
_02964_,29.065
_03844_,29.055
_01952_,29.035
_02929_,29.015
_136_\[14\],28.975
_03438_,28.96
_05808_,28.96
_195_\[2\],28.955
_04568_,28.935
_182_\[14\],28.91
_240_\[10\],28.825
_03730_,28.77
_05518_,28.765
_01535_,28.755
_116_\[23\],28.75
_02793_,28.735
_02667_,28.72
_05779_,28.715
_04142_,28.67
_05477_,28.665
_152_\[9\],28.66
_02943_,28.64
_01326_,28.635
_03491_,28.485
_03448_,28.46
_240_\[4\],28.43
_05699_,28.4
_05667_,28.26
_243_\[4\],28.215
_04994_,28.2
_03244_,28.175
_01925_,28.17
_01249_,28.165
_231_\[29\],28.165
_03026_,28.16
clknet_leaf_38_clk,28.14
_04137_,28.12
_02399_,28.055
_124_\[4\],28.055
_240_\[25\],28.045
_02011_,28.01
_05627_,27.995
_228_\[29\],27.995
_03920_,27.985
_01781_,27.955
_134_\[2\],27.935
_122_\[0\],27.915
_240_\[31\],27.905
_04978_,27.9
_03476_,27.88
_231_\[17\],27.88
_04160_,27.85
_130_\[7\],27.85
_03028_,27.8
_116_\[24\],27.8
_01528_,27.775
_01727_,27.75
_04074_,27.74
_04522_,27.74
_03651_,27.73
_02158_,27.725
_02970_,27.655
_231_\[30\],27.655
_158_\[1\],27.65
_179_\[4\],27.575
_158_\[8\],27.56
_03700_,27.545
_05077_,27.54
_126_\[22\],27.5
_05614_,27.475
_03894_,27.435
_04318_,27.435
_03459_,27.405
_02117_,27.395
_228_\[3\],27.37
_04489_,27.335
_02290_,27.32
_01844_,27.315
_05580_,27.31
_228_\[8\],27.305
_03417_,27.28
_03820_,27.24
_05729_,27.235
_02052_,27.22
_05823_,27.21
_03155_,27.195
clknet_leaf_32_clk,27.195
_231_\[27\],27.16
_02398_,27.155
_02591_,27.14
_05376_,27.085
_05317_,27
_116_\[3\],26.975
_130_\[24\],26.94
_04550_,26.92
_116_\[4\],26.92
_03694_,26.91
_05361_,26.87
_01651_,26.855
_01343_,26.815
_124_\[30\],26.815
_01872_,26.795
_04543_,26.76
_02499_,26.74
_05754_,26.635
_02389_,26.575
_04395_,26.575
_04255_,26.545
_234_\[29\],26.545
_04364_,26.535
_05072_,26.52
_06035_,26.515
_03085_,26.505
_02148_,26.49
_03140_,26.475
_01542_,26.455
_05999_,26.455
_01634_,26.42
_03359_,26.355
_120_\[10\],26.265
_02628_,26.26
_228_\[0\],26.255
_03205_,26.195
_05517_,26.185
_01818_,26.18
_134_\[6\],26.18
_01312_,26.175
_05189_,26.155
_02021_,26.15
_228_\[17\],26.135
_128_\[6\],26.105
_05922_,26.095
_03821_,26.075
_02031_,26
_05182_,25.98
_116_\[25\],25.955
_01328_,25.935
_03469_,25.915
_152_\[24\],25.875
_02327_,25.86
_04311_,25.85
_03236_,25.835
_05197_,25.835
_02671_,25.815
_240_\[29\],25.815
_02489_,25.805
_03436_,25.795
_120_\[0\],25.715
_138_\[8\],25.695
_04342_,25.66
_04191_,25.65
_03050_,25.58
_02291_,25.49
_136_\[30\],25.475
_126_\[6\],25.435
_01981_,25.415
_02953_,25.38
_05678_,25.36
_158_\[15\],25.355
_228_\[16\],25.345
_03852_,25.335
_03039_,25.315
_01341_,25.295
_130_\[20\],25.295
_240_\[17\],25.285
_116_\[29\],25.275
_240_\[22\],25.265
_05259_,25.26
_03273_,25.255
_04527_,25.255
_01848_,25.24
_01941_,25.235
_03696_,25.23
_03527_,25.215
_05449_,25.2
_03589_,25.16
_152_\[21\],25.155
_228_\[31\],25.07
_01349_,25.055
_182_\[19\],25.045
_02933_,25.04
_02880_,25.03
_04366_,25.015
_03116_,24.98
_04898_,24.98
_03055_,24.94
_05694_,24.935
_03739_,24.92
_04120_,24.915
_02406_,24.895
_231_\[18\],24.895
_01850_,24.89
_04171_,24.86
_03428_,24.84
_03801_,24.84
_03959_,24.835
_03086_,24.815
_134_\[20\],24.775
_02453_,24.755
_02966_,24.745
_05348_,24.735
_136_\[15\],24.73
_05834_,24.725
_01927_,24.7
_04079_,24.7
_06003_,24.595
_03932_,24.54
_04393_,24.53
_01862_,24.52
_02009_,24.515
_05971_,24.515
_01479_,24.495
_04194_,24.485
_04266_,24.475
_02394_,24.44
_02662_,24.44
_04918_,24.395
_02368_,24.39
_03296_,24.39
_149_\[17\],24.35
_01879_,24.3
_02014_,24.3
_05007_,24.28
_05803_,24.27
_240_\[30\],24.27
_134_\[14\],24.26
_05289_,24.235
_05725_,24.21
_02334_,24.2
_05349_,24.195
_03250_,24.135
_04028_,24.135
_05458_,24.135
_03670_,24.12
_03830_,24.12
_01327_,24.115
_01718_,24.095
_02751_,24.095
_03629_,24.09
_126_\[1\],24.075
_05328_,24.07
_02987_,24.055
_05502_,24.035
_138_\[11\],24
_04529_,23.975
_02268_,23.935
_02816_,23.935
_02173_,23.885
_03689_,23.885
_03187_,23.88
_03285_,23.875
_04403_,23.875
_158_\[17\],23.86
_02323_,23.85
_136_\[4\],23.835
_06164_,23.815
_03037_,23.81
_03270_,23.81
_04204_,23.795
_03683_,23.79
_04434_,23.765
_01989_,23.74
_01263_,23.735
clknet_leaf_85_clk,23.715
_03486_,23.695
_190_\[1\],23.695
_01375_,23.68
_138_\[17\],23.68
_130_\[2\],23.675
_02296_,23.66
_02072_,23.655
_436_\[4\],23.58
_02418_,23.575
_231_\[31\],23.56
_02994_,23.54
_120_\[28\],23.535
_05745_,23.53
_04425_,23.505
_05373_,23.505
_02682_,23.495
_05899_,23.495
_04345_,23.485
_01572_,23.475
_04081_,23.465
_01262_,23.46
_03551_,23.455
_01979_,23.44
_04282_,23.425
_01524_,23.42
_02225_,23.42
_05966_,23.385
din[2],23.38
_03738_,23.36
_138_\[14\],23.345
_02044_,23.34
_02298_,23.31
_03014_,23.295
_05291_,23.295
_05946_,23.29
_04270_,23.275
_149_\[20\],23.275
_05936_,23.255
_116_\[19\],23.235
_03829_,23.2
_03251_,23.165
_158_\[21\],23.15
_02104_,23.14
_134_\[26\],23.135
_01503_,23.125
_04822_,23.12
_240_\[27\],23.12
_03605_,23.115
_03770_,23.1
_240_\[16\],23.09
_01340_,23.065
_01914_,23.06
_03029_,23.055
_05360_,23.05
_06100_,22.99
_01967_,22.985
_03295_,22.955
_04039_,22.94
_122_\[20\],22.935
_01275_,22.93
_246_\[9\],22.9
_122_\[21\],22.895
_05294_,22.875
_01836_,22.865
_04371_,22.855
_02764_,22.835
_03380_,22.815
_04083_,22.81
_05764_,22.795
_02436_,22.785
_04308_,22.785
_03885_,22.78
_04316_,22.775
_04368_,22.775
_05631_,22.775
_132_\[15\],22.765
_03166_,22.735
_182_\[11\],22.725
_02277_,22.68
_02557_,22.68
_231_\[3\],22.665
_03176_,22.66
_03799_,22.65
_03172_,22.64
_04144_,22.585
_04840_,22.58
_01901_,22.555
_03622_,22.545
_01877_,22.54
_02170_,22.54
_02553_,22.52
_01991_,22.515
_04505_,22.515
_01643_,22.48
_03131_,22.475
_03310_,22.45
_231_\[11\],22.405
_03962_,22.4
_04289_,22.395
_01816_,22.385
_01859_,22.38
_02447_,22.38
_05578_,22.35
_03856_,22.34
_04435_,22.3
_03429_,22.295
_231_\[19\],22.285
_01253_,22.27
_01579_,22.255
_05343_,22.255
_01924_,22.235
_04146_,22.215
_03452_,22.195
_03490_,22.195
_182_\[15\],22.195
_01968_,22.17
_03679_,22.17
_05303_,22.17
_136_\[8\],22.15
_03570_,22.115
_138_\[16\],22.115
_02941_,22.1
_05783_,22.09
_03196_,22.08
_01606_,22.04
_05806_,22.025
_03981_,21.955
_01289_,21.915
_05628_,21.905
_02339_,21.895
_03430_,21.895
_158_\[7\],21.89
_05372_,21.875
_04297_,21.87
_231_\[9\],21.855
_05653_,21.85
_04207_,21.84
_03328_,21.835
_03504_,21.82
_04117_,21.815
_05078_,21.81
_04467_,21.775
_02153_,21.755
_01351_,21.72
_05503_,21.715
_120_\[22\],21.69
_03664_,21.68
_04997_,21.675
_03344_,21.655
_138_\[30\],21.655
_02226_,21.65
_116_\[12\],21.6
_190_\[0\],21.595
_05414_,21.58
_04485_,21.56
_01310_,21.535
_02424_,21.535
_03366_,21.515
_05434_,21.51
_01627_,21.495
_02077_,21.495
_04070_,21.48
_02516_,21.47
_03164_,21.46
_03348_,21.43
_03074_,21.395
_01917_,21.36
_03021_,21.355
_246_\[15\],21.355
_04438_,21.35
_01210_,21.335
_02441_,21.33
_02777_,21.32
_03803_,21.3
_05080_,21.3
_05456_,21.29
_02395_,21.28
_03301_,21.275
_116_\[8\],21.255
_03371_,21.25
_01561_,21.24
_05648_,21.225
_05008_,21.215
_05350_,21.215
_436_\[0\],21.205
_03805_,21.195
_04566_,21.19
_134_\[3\],21.19
_04328_,21.18
_05364_,21.17
_126_\[5\],21.17
_01624_,21.16
_122_\[14\],21.16
_06010_,21.155
_06054_,21.14
_03802_,21.135
_03714_,21.125
_05308_,21.12
_02316_,21.115
_02685_,21.115
_03764_,21.105
_01788_,21.1
_03800_,21.085
_03396_,21.07
_158_\[6\],21.045
_01764_,21.025
_02385_,20.99
_01706_,20.975
_01887_,20.975
_03136_,20.975
_02274_,20.965
_02345_,20.965
_06487_,20.965
_01889_,20.96
_04749_,20.96
_04225_,20.955
_05409_,20.955
_01342_,20.95
_05780_,20.935
_234_\[12\],20.935
_02479_,20.93
_03405_,20.93
_05952_,20.92
_05804_,20.91
_05733_,20.9
_02940_,20.89
_04053_,20.875
_01493_,20.86
_02235_,20.85
_05290_,20.825
_03832_,20.815
_04153_,20.81
_158_\[10\],20.805
_01588_,20.78
_04993_,20.78
_03330_,20.775
_02094_,20.72
_05576_,20.715
_03722_,20.7
_02504_,20.685
_05441_,20.68
_03510_,20.675
_02186_,20.665
_05634_,20.665
_03283_,20.66
_04304_,20.66
_228_\[27\],20.66
_01330_,20.655
_05304_,20.64
_03117_,20.63
_04784_,20.62
_231_\[15\],20.61
_240_\[28\],20.605
_158_\[16\],20.6
_04990_,20.575
_05724_,20.575
_01597_,20.555
_04664_,20.55
_231_\[26\],20.545
_03497_,20.54
_05203_,20.505
_01329_,20.5
_01335_,20.46
_01359_,20.46
_05270_,20.46
_05283_,20.46
_122_\[6\],20.455
_124_\[31\],20.455
_136_\[16\],20.455
_03245_,20.43
_04188_,20.415
_04416_,20.41
_05301_,20.41
_03777_,20.395
_03239_,20.38
_04021_,20.38
_231_\[8\],20.375
_136_\[28\],20.365
_01962_,20.36
_06022_,20.355
_240_\[1\],20.33
_00800_,20.325
_02939_,20.295
_06241_,20.295
_01708_,20.275
_231_\[21\],20.265
_04291_,20.245
_134_\[7\],20.23
_04582_,20.225
_02018_,20.22
_04205_,20.22
_231_\[22\],20.215
_01590_,20.2
_05650_,20.19
_04427_,20.185
_03698_,20.17
_01964_,20.125
_130_\[28\],20.125
_02177_,20.06
_04199_,20.035
_05594_,20.035
_03227_,20.03
_01864_,20.015
_01676_,20
_05285_,20
_05129_,19.995
_05233_,19.995
_02965_,19.98
_03791_,19.96
_02552_,19.935
_246_\[1\],19.93
_02915_,19.915
_05274_,19.915
