net,length_um
_02419_,209.88
_02814_,209.865
_176_\[2\],209.79
_04663_,208.11
_05036_,207.555
_185_\[5\],207.55
_02810_,207.015
_04642_,206.915
_05533_,206.885
net64,206.685
_02781_,206.37
net25,206.325
_173_\[27\],205.725
_04696_,205.215
_02811_,205.175
_02451_,204.155
_167_\[30\],203.98
_01393_,203.975
_02359_,203.305
_04628_,203.25
_01778_,202.94
_03032_,202.825
_04635_,202.62
_02839_,202.435
_02017_,202.265
_167_\[9\],202.09
_167_\[11\],201.75
_01233_,201.45
net49,201.06
_01284_,201
_167_\[23\],200.7
_173_\[3\],200.36
_185_\[7\],198.9
_173_\[25\],198.88
_02561_,198.58
_132_\[17\],198.495
_167_\[7\],198.185
_02868_,197.77
_185_\[8\],197.435
clknet_4_6_0_clk,197.31
_05094_,196.98
_01536_,196.62
_118_\[0\],196.22
_04705_,195.925
clknet_4_7_0_clk,195.89
_01214_,195.775
_03890_,195.635
_167_\[20\],195.53
_179_\[13\],195.485
_02771_,195.25
net52,195
_02649_,194.69
_01670_,194.255
_01971_,194.1
_02202_,194.025
_118_\[19\],193.8
_03903_,193.57
_164_\[23\],193.405
_02790_,193.175
_02679_,192.09
_185_\[6\],192.06
_02181_,191.91
_02626_,191.53
_05785_,191.5
_243_\[20\],191.43
_02611_,191.035
_118_\[20\],190.42
_02797_,190.24
_164_\[11\],190.18
_04650_,189.855
_04743_,189.595
_03952_,189.465
_04740_,189.385
_140_\[10\],189.09
_142_\[31\],189.05
_179_\[23\],188.235
_02801_,188.225
_243_\[21\],188.19
_06178_,188.03
_03893_,187.935
_130_\[14\],187.745
_03841_,187.665
_03945_,187.44
_02293_,186.99
_118_\[13\],186.805
_05110_,185.81
_05089_,185.125
_02686_,184.35
_179_\[25\],184.23
_02830_,184.2
_173_\[19\],183.845
_140_\[12\],183.62
_01425_,183.01
clknet_4_8_0_clk,182.445
_02230_,182.355
_173_\[28\],182.205
_05318_,182.14
_04891_,181.615
_179_\[31\],181.395
_04823_,181.225
_130_\[15\],181.025
_04995_,180.97
_02641_,180.19
_04998_,179.845
_04980_,179.715
_142_\[23\],179.67
_01474_,179.63
_237_\[0\],179.595
_02736_,179.05
_04658_,177.735
_182_\[2\],177.38
_04654_,177.275
_164_\[10\],177.24
_164_\[20\],176.98
_02097_,176.79
_167_\[28\],176.255
_01827_,176.18
_02835_,176.075
_03984_,175.935
_02787_,175.785
_149_\[8\],175.5
_243_\[29\],175.355
_173_\[4\],175.075
_04671_,174.42
_04809_,174.42
_03215_,174.39
_04833_,173.95
_03870_,173.6
_132_\[19\],173.6
_243_\[26\],173.265
_01438_,173.085
_05852_,172.69
_04958_,172.665
_152_\[13\],172.495
_118_\[12\],172.42
_176_\[13\],172.17
_04132_,171.535
net12,171.115
_02798_,171.09
_179_\[29\],170.855
_03868_,170.82
net60,170.61
_179_\[17\],170.56
_04005_,170.37
_167_\[21\],169.325
_04971_,169.3
_02353_,169.215
_173_\[12\],169.155
_04010_,168.975
net29,168.955
_02695_,168.865
_164_\[24\],168.825
_179_\[19\],168.67
_05107_,168.345
_02058_,168.185
_185_\[31\],168.175
_173_\[5\],167.985
_02753_,167.395
clknet_1_0_0_clk,167.14
_03338_,166.94
_132_\[20\],166.635
_06434_,166.11
_01545_,165.91
_04210_,165.825
_03873_,165.555
_02687_,165.49
_132_\[21\],165.165
_182_\[1\],165.14
_04914_,165.01
_01604_,164.61
_179_\[16\],164.41
_142_\[21\],164.405
_01875_,164.075
net59,163.85
_164_\[30\],163.78
_167_\[0\],163.5
_03184_,163.245
_02804_,163.2
clknet_2_2_0_clk,163.17
_01360_,162.92
_02486_,162.75
_164_\[25\],162.655
_118_\[1\],162.455
_04925_,162.225
_01423_,162.175
_140_\[23\],161.995
_149_\[7\],161.935
_142_\[20\],161.405
_02175_,161.155
_140_\[21\],160.605
_04078_,160.27
_01292_,159.655
_243_\[22\],159.475
_03888_,158.995
_03138_,158.935
_140_\[20\],158.845
_01496_,158.7
_01407_,158.27
_02712_,158.255
_164_\[2\],158.175
_142_\[19\],157.64
_152_\[12\],157.625
_02074_,157.545
_02824_,157.375
clknet_leaf_93_clk,157.255
_04986_,157.06
_02111_,156.905
_02598_,156.475
_03103_,156.4
